edge_index,sample_index,parameter,x_mm,y_mm,z_mm
0,91,3.243099999999999,-7.118999999999991,45.300000000000004,55.300000000000004
0,92,3.3221999999999996,-6.327999999999987,45.300000000000004,55.300000000000004
0,93,3.4013,-5.536999999999983,45.300000000000004,55.300000000000004
0,94,3.4803999999999986,-4.745999999999997,45.300000000000004,55.300000000000004
0,95,3.559499999999999,-3.954999999999993,45.300000000000004,55.300000000000004
0,96,3.6385999999999985,-3.163999999999998,45.300000000000004,55.300000000000004
0,97,3.717699999999999,-2.372999999999994,45.300000000000004,55.300000000000004
0,98,3.7967999999999993,-1.58199999999999,45.300000000000004,55.300000000000004
0,99,3.875899999999999,-0.790999999999995,45.300000000000004,55.300000000000004
0,100,3.954999999999999,8.881784197001252e-15,45.300000000000004,55.300000000000004
1,0,0.0,4.440892098500626e-15,45.300000000000004,55.300000000000004
1,1,0.2039960831084796,2.038369795730679,45.29490411437749,55.300000000000004
1,2,0.4079921662169592,4.073351233637577,45.2796468990544,55.300000000000004
1,3,0.6119882493254387,6.104634918741603,45.25427350293853,55.300000000000004
1,4,0.8159843324339184,8.131911491152582,45.21882844752475,55.300000000000004
1,5,1.019980415542398,10.154871612220793,45.173355694774216,55.300000000000004
1,6,1.2239764986508774,12.173205952665434,45.117898710962436,55.300000000000004
1,7,1.4279725817593574,14.186605182508847,45.05250052672575,55.300000000000004
1,8,1.6319686648678369,16.19475996266065,44.97720379351671,55.300000000000004
1,9,1.8359647479763164,18.197360938009986,44.892050836660495,55.300000000000004
1,10,2.039960831084796,20.194098731896773,44.79708370518778,55.300000000000004
1,11,2.2439569141932756,22.184663941844075,44.69234421860371,55.300000000000004
1,12,2.447952997301755,24.168747136444033,44.577874010737446,55.300000000000004
1,13,2.651949080410235,26.146038853298815,44.45371457080298,55.300000000000004
1,14,2.8559451635187147,28.116229597926168,44.319907281788176,55.300000000000004
1,15,3.059941246627194,30.079009843546363,44.17649345627635,55.300000000000004
1,16,3.2639373297356737,32.03407003167374,44.02351436979235,55.300000000000004
1,17,3.4679334128441535,33.98110057344128,43.861011291753144,55.300000000000004
1,18,3.6719294959526327,35.91979185159169,43.689025514091355,55.300000000000004
1,19,3.8759255790611125,37.84983422307214,43.50759837760904,55.300000000000004
1,20,4.079921662169592,39.77091802217315,43.31677129610755,55.300000000000004
1,21,4.283917745278071,41.682733564154304,43.11658577832862,55.300000000000004
1,22,4.487913828386551,43.58497114930168,42.90708344773045,55.300000000000004
1,23,4.691909911495031,45.47732106736188,42.68830606011191,55.300000000000004
1,24,4.89590599460351,47.35947360229859,42.4602955190862,55.300000000000004
1,25,5.09990207771199,49.231119037316304,42.22309388939448,55.300000000000004
1,26,5.30389816082047,51.09194766009388,41.976743408037834,55.300000000000004
1,27,5.507894243928949,52.9416497681688,41.72128649319401,55.300000000000004
1,28,5.7118903270374295,54.77991567440834,41.45676575087287,55.300000000000004
1,29,5.915886410145908,56.60643571249931,41.183223979251395,55.300000000000004
1,30,6.119882493254388,58.420900242381954,40.900704170615256,55.300000000000004
1,31,6.323878576362867,60.222999655545095,40.60924951081987,55.300000000000004
1,32,6.5278746594713475,62.01242438009109,40.30890337616835,55.300000000000004
1,33,6.731870742579827,63.78886488546674,39.99970932758786,55.300000000000004
1,34,6.935866825688307,65.55201168674385,39.681711101968766,55.300000000000004
1,35,7.139862908796785,67.3015553483158,39.354952600512945,55.300000000000004
1,36,7.3438589919052655,69.03718648685887,39.01947787391813,55.300000000000004
1,37,7.547855075013745,70.75859577338375,38.67533110420486,55.300000000000004
1,38,7.751851158122225,72.46547393417751,38.322556582970876,55.300000000000004
1,39,7.955847241230704,74.15751175040552,37.96119868583427,55.300000000000004
1,40,8.159843324339183,75.83440005610767,37.59130184280256,55.300000000000004
1,41,8.363839407447664,77.49582973428197,37.21291050427882,55.300000000000004
1,42,8.567835490556142,79.14149171070116,36.82606910238848,55.300000000000004
1,43,8.771831573664622,80.7710769450521,36.430822007282174,55.300000000000004
1,44,8.975827656773102,82.3842764189232,36.02721347804008,55.300000000000004
1,45,9.179823739881583,83.98078112009095,35.61528760777281,55.300000000000004
1,46,9.383819822990063,85.56028202246904,35.19508826248276,55.300000000000004
1,47,9.587815906098541,87.122470060984,34.766659013218955,55.300000000000004
1,48,9.79181198920702,88.66703610052429,34.33004306102799,55.300000000000004
1,49,9.9958080723155,90.19367089797501,33.88528315417538,55.300000000000004
1,50,10.19980415542398,91.70206505619488,33.43242149708607,55.300000000000004
1,51,10.40380023853246,93.19190896861166,32.97149965043211,55.300000000000004
1,52,10.60779632164094,94.6628927529037,32.50255842178214,55.300000000000004
1,53,10.811792404749418,96.11470589160803,32.02563783972267,55.300000000000004
1,54,11.015788487857899,97.54538275820131,31.541345533470484,55.300000000000004
1,55,11.219784570966379,98.95312387089447,31.050298399338047,55.300000000000004
1,56,11.423780654074859,100.3377407077447,30.5525917970698,55.300000000000004
1,57,11.627776737183336,101.69904469727156,30.048320913825826,55.300000000000004
1,58,11.831772820291816,103.03684722277673,29.537580797632792,55.300000000000004
1,59,12.035768903400296,104.35095962740223,29.02046638885558,55.300000000000004
1,60,12.239764986508776,105.64119321988544,28.49707254960846,55.300000000000004
1,61,12.443761069617254,106.90735928095557,27.967494091003186,55.300000000000004
1,62,12.647757152725735,108.14926907030235,27.431825798107297,55.300000000000004
1,63,12.851753235834215,109.36673383402564,26.890162452460387,55.300000000000004
1,64,13.055749318942695,110.55956481244979,26.342598851968763,55.300000000000004
1,65,13.259745402051173,111.72757324815252,25.789229827969983,55.300000000000004
1,66,13.463741485159654,112.8705703940161,25.230150259229,55.300000000000004
1,67,13.667737568268134,113.98836752105629,24.665455082597262,55.300000000000004
1,68,13.871733651376614,115.08077592571956,24.095239300036777,55.300000000000004
1,69,14.07572973448509,116.14760693625905,23.519597981683916,55.300000000000004
1,70,14.27972581759357,117.18867191770153,22.93862626460568,55.300000000000004
1,71,14.48372190070205,118.20378227479979,22.352419346886844,55.300000000000004
1,72,14.687717983810531,119.19274945222267,21.7610724766846,55.300000000000004
1,73,14.89171406691901,120.15538493106465,21.16468093590432,55.300000000000004
1,74,15.09571015002749,121.09150022055874,20.563340018193177,55.300000000000004
1,75,15.29970623313597,122.00090684364339,19.95714500102839,55.300000000000004
1,76,15.50370231624445,122.88341631477032,19.346191111806444,55.300000000000004
1,77,15.70769839935293,123.7388401080423,18.730573488035688,55.300000000000004
1,78,15.911694482461408,124.56698961344607,18.110387132016644,55.300000000000004
1,79,16.11569056556989,125.36767607860378,17.485726860786528,55.300000000000004
1,80,16.319686648678367,126.14674067577737,16.85167257402127,55.300000000000004
1,81,16.52368273178685,126.9162495545144,16.196966790853946,55.300000000000004
1,82,16.727678814895327,127.67381834672989,15.521333379027526,55.300000000000004
1,83,16.931674898003806,128.41651317986387,14.824938233807444,55.300000000000004
1,84,17.135670981112284,129.14140244019987,14.107949594223452,55.300000000000004
1,85,17.339667064220766,129.84555667190244,13.370537313909328,55.300000000000004
1,86,17.543663147329244,130.52604798650296,12.612871719112668,55.300000000000004
1,87,17.747659230437726,131.17994878974525,11.83512209728981,55.300000000000004
1,88,17.951655313546205,131.80432959047988,11.037454926064513,55.300000000000004
1,89,18.155651396654683,132.39625562517807,10.220032052746566,55.300000000000004
1,90,18.359647479763165,132.95278202957314,9.383009174962185,55.300000000000004
